350
40 396
24 31 110054
19 39 81673
13 20 136059
1 5 31587
14 39 103879
29 14 124899
13 22 143140
35 6 184170
12 3 40986
5 7 102123
39 28 156955
40 5 114940
14 4 206686
34 16 221711
30 13 94597
26 1 135432
10 12 190699
24 32 158349
15 4 253512
21 8 132723
34 27 174034
25 7 167512
28 29 126509
15 19 128641
15 1 142503
16 18 125233
25 32 289304
32 10 211217
6 15 223388
36 5 223829
19 8 59273
4 33 159105
9 35 172693
31 41 27571
41 38 168086
35 29 143173
40 25 195908
26 40 153248
19 24 17065
28 18 158355
38 30 139616
31 10 194781
36 33 182145
35 37 111283
35 14 132412
7 24 84651
3 5 35999
28 33 126328
6 32 132562
11 29 46620
21 39 137805
14 32 135089
29 13 95228
7 21 28266
38 1 116530
35 21 71460
22 5 89059
26 28 203772
19 26 128490
39 30 118621
5 26 128083
17 24 35017
24 12 22459
14 23 176451
30 35 34768
15 9 242594
1 35 121259
35 10 287929
34 17 214315
4 19 142189
14 5 74079
21 2 66222
9 30 182219
5 41 83143
23 15 202605
30 31 194740
39 20 145997
26 38 185189
6 4 135762
41 27 118690
7 9 215669
20 31 183238
40 18 180288
40 23 199994
5 10 182163
2 18 75845
31 21 166439
32 31 243573
15 31 62848
31 16 152467
36 30 223895
40 41 31797
32 8 200557
28 34 153959
2 12 12622
27 20 90023
9 39 63598
2 41 74885
32 28 66002
12 14 96384
23 3 76011
11 8 115159
35 18 151989
30 12 157242
20 28 237970
16 4 167537
36 10 358294
9 11 144006
34 30 155365
31 36 316411
39 4 104981
2 17 44854
13 9 168441
16 5 59885
22 10 171670
15 5 129048
8 15 187914
17 15 163405
14 17 125754
6 24 111812
28 14 148954
37 31 101648
10 24 185052
9 3 149545
30 10 298628
37 12 14053
8 3 94865
24 35 119689
22 40 185267
26 4 88447
5 9 114360
13 31 152479
39 15 192996
20 17 199365
32 37 149943
7 26 113899
32 5 141691
38 25 175436
37 28 83941
4 38 125976
39 22 118859
26 11 110726
39 41 147091
31 28 177571
13 19 54488
31 8 169580
31 11 148875
7 6 196463
27 9 272961
24 22 105717
28 12 97994
39 26 167562
6 29 59632
24 5 17472
11 34 217150
23 1 71599
4 28 217471
39 23 128169
29 26 157346
3 35 125671
38 18 22395
1 24 14115
26 17 168879
35 4 74274
13 37 51454
21 6 168197
39 2 74445
4 13 134103
6 10 154163
4 3 143651
12 9 136665
1 10 199167
6 8 170132
17 32 193366
28 13 129770
17 27 193772
35 2 109852
33 23 119695
23 8 162052
22 14 14980
1 6 125927
27 7 208563
2 32 151374
9 32 94808
12 21 78844
33 30 171187
35 27 166253
6 18 32181
20 15 120395
10 17 220069
31 5 110714
21 9 187403
4 34 194871
8 10 241843
7 16 127064
9 28 160810
6 9 37754
9 14 40281
39 6 30781
14 19 73672
17 19 52082
22 6 93015
12 8 81985
34 23 264043
1 17 49132
19 38 102668
25 27 98467
17 22 140734
29 20 216528
10 34 347538
4 24 125124
6 19 110859
37 36 214763
38 13 145463
38 11 102271
28 27 234290
30 20 110998
12 34 182083
27 36 330269
25 37 164310
22 16 148130
24 15 128388
40 6 194157
10 18 181407
41 11 121304
10 20 302778
29 34 214666
31 19 110307
10 39 180007
24 30 137206
17 41 117500
32 22 150069
13 32 161689
6 30 149402
7 40 198931
9 23 190899
4 7 97005
40 17 149297
8 37 67932
38 21 158800
10 21 241437
15 29 163756
11 32 182429
13 16 102273
41 15 88323
16 17 77430
36 38 199282
2 5 10497
11 6 106252
25 28 229526
41 19 82736
10 13 228100
16 19 59478
35 19 114317
38 20 166992
16 20 201220
8 9 173226
7 37 93057
33 177
5 11 308361
10 22 326194
28 18 104097
4 18 218574
12 13 214760
16 9 344307
18 27 172005
8 19 154432
30 7 259731
6 12 409277
26 3 151990
33 17 231522
13 29 175419
31 15 136824
32 26 236812
24 31 227681
21 6 397250
27 16 211939
23 8 141336
29 25 143081
32 19 211618
3 15 199230
28 32 235650
24 26 248537
16 17 321744
30 20 208680
21 7 94089
31 25 77892
27 15 158472
20 13 259818
13 6 383458
19 21 74152
23 9 245283
17 31 190131
32 16 359549
1 33 123447
18 6 301970
20 31 201645
8 32 183207
21 25 131034
16 30 242445
9 22 190893
14 22 244343
9 31 110720
31 16 233587
10 26 327011
20 19 199458
32 5 192023
12 25 225718
8 4 149288
24 16 5906
28 1 61204
23 33 90812
6 11 327260
11 31 335860
17 29 298616
1 6 223923
21 4 179753
26 27 161692
13 14 80383
17 4 223431
6 31 359551
30 33 218329
28 19 125225
18 8 133304
5 4 158104
24 2 319568
6 29 260855
26 25 191883
1 12 185354
8 15 167752
32 31 229189
24 29 292870
19 24 208202
2 7 245322
3 8 236968
7 11 376807
29 18 139996
3 29 252852
2 21 185518
16 14 326306
18 5 60470
13 22 182783
22 26 202239
28 3 233923
15 17 244994
8 1 55257
6 3 371735
20 23 186362
32 22 151198
14 17 86044
9 10 331686
9 28 133234
25 30 184188
18 25 200481
2 17 338153
21 27 74790
11 28 351988
16 28 279847
13 10 295684
29 1 97103
20 8 109044
22 24 202445
8 6 279180
25 22 159206
10 2 371865
29 26 248529
15 30 157131
27 25 56244
5 12 167777
17 23 231383
31 18 193653
25 23 56671
13 25 118773
5 22 40825
9 20 144122
7 9 151667
3 32 84822
11 29 387887
2 23 226450
17 7 231078
33 28 149497
22 21 177752
9 5 150068
4 15 221245
12 4 214898
11 14 231773
11 32 276315
31 29 108485
4 22 117279
26 13 73110
15 29 209598
15 10 274199
12 7 188773
29 23 199752
32 21 191693
9 29 133659
2 4 218498
32 9 271148
5 25 140011
28 13 156490
1 7 145509
30 9 299391
5 33 105870
11 16 189484
13 4 167492
14 7 160680
30 10 176498
15 20 212778
13 31 66934
30 3 244446
16 23 99024
9 14 230453
24 12 315968
26 28 229600
7 23 132214
16 2 325474
15 28 173699
19 31 127294
8 26 232645
12 21 200968
33 12 259859
21 29 161627
25 33 34141
29 4 191800
26 1 178991
1 16 231599
6 24 131870
22 28 84452
10 27 227543
15 26 66496
24 7 225332
19 13 60360
5 17 260742
27 5 111535
20 2 310824
1 25 157588
31 197
19 29 103543
24 20 55568
12 14 216736
2 26 265511
13 20 123246
27 29 54728
29 23 238768
18 26 203640
20 12 154837
2 14 122664
1 4 354056
25 31 132430
30 26 38467
14 10 317801
31 17 243985
18 15 271959
25 19 201370
14 18 222443
2 8 108229
24 31 145184
10 22 345799
5 30 117719
13 22 278508
15 5 228966
16 23 87651
15 3 205853
3 24 66418
8 12 168468
3 29 241108
11 14 114736
12 17 293524
5 3 205514
10 29 136780
31 27 102640
11 28 145980
25 24 110965
24 17 107060
2 13 177938
23 5 209603
14 29 251013
7 4 343497
30 28 88549
17 6 198228
2 10 309187
21 1 234957
14 30 239245
15 17 281554
3 21 198290
28 13 38851
30 15 288761
6 16 74024
11 22 149187
27 23 190469
7 30 33145
5 20 136926
31 7 93939
14 19 175056
14 24 87777
31 23 161773
11 1 122212
14 5 226873
25 10 174371
10 21 245538
25 28 104675
1 26 250900
20 9 101473
7 2 236608
5 19 141025
16 24 17144
10 11 260570
15 19 239212
28 23 189528
22 6 213396
21 20 118424
20 30 141730
15 1 263564
9 10 220447
27 25 119791
23 3 136925
23 7 231539
30 9 243203
2 30 227044
11 18 158734
25 15 131228
18 8 102013
18 25 180325
4 3 227389
30 3 217886
3 1 161671
16 17 124204
3 27 186380
30 1 212433
4 14 248748
8 6 58515
9 5 183408
30 23 221975
4 10 161696
22 1 217481
6 27 99994
12 11 159505
6 19 209804
6 26 215797
13 10 209798
15 28 225168
31 26 99261
22 18 256894
26 24 189935
10 6 154574
31 6 147750
28 26 127016
8 16 15509
26 25 202297
11 29 195220
23 11 43548
4 23 246890
11 24 26959
25 14 198742
4 16 310951
19 2 140294
24 2 75576
10 23 277352
1 6 152133
18 20 124928
17 21 195375
22 23 192735
5 22 261324
13 18 198394
17 5 233608
4 5 258923
27 14 196285
12 28 165328
2 23 92165
7 18 163371
13 3 216286
19 24 118636
9 27 165867
24 10 245742
22 8 154881
19 17 225696
9 17 264101
12 26 68755
15 23 191083
12 24 186464
24 30 151468
11 9 184000
14 13 237645
26 27 159198
1 5 234349
5 11 166055
11 19 91677
6 2 166744
30 13 49698
6 30 177330
28 5 59088
13 12 156920
15 9 45558
15 2 117414
21 11 166835
19 9 275677
5 25 97738
27 22 242190
1 29 234250
13 9 218461
7 11 187991
29 28 129613
9 22 279269
10 18 235950
21 22 296220
29 20 119122
3 22 188646
24 18 134666
27 19 151715
29 5 127260
11 26 216894
28 7 121694
3 6 157586
13 11 129321
27 17 227022
4 22 416035
4 2 328694
17 13 255081
29 18 139386
28 24 172939
28 2 194597
17 18 164972
19 21 179258
1 28 255812
13 4 280396
12 18 134885
8 14 120430
25 29 169257
4 8 326460
30 8 118815
9 24 157041
20 17 162628
18 27 84658
27 20 64394
36 316
13 18 195343
22 34 195854
4 14 222297
32 21 109373
21 18 177647
21 33 258242
33 26 248923
28 16 109508
23 7 145468
16 7 115178
20 6 267597
35 29 156220
2 32 214259
5 23 78385
33 4 266558
26 36 141148
21 2 244499
31 32 179485
33 36 114829
12 2 250580
23 33 237969
33 11 211325
33 3 159955
8 14 170540
8 22 142428
23 8 189296
32 20 227130
36 7 118005
6 13 189429
19 9 194284
24 6 109496
26 4 161297
8 7 128930
25 28 129151
25 7 158263
34 29 57496
12 28 191912
17 20 245645
31 13 99322
32 27 235264
5 2 224530
20 24 187827
27 28 246985
2 36 199537
27 11 199035
2 29 175328
30 7 137089
23 9 150957
17 18 189527
1 31 110524
5 35 186344
21 28 121094
9 4 119478
29 7 124860
5 6 190798
27 26 278872
30 27 294458
35 3 43404
35 15 99928
21 17 127888
12 13 129815
32 6 169195
1 24 210717
8 33 143108
34 13 205000
8 27 212852
5 29 117740
4 15 34157
26 22 143813
22 3 182451
1 5 134190
28 4 129410
36 27 184573
10 14 211575
7 10 106147
36 25 40258
33 27 299402
8 34 61566
4 7 135080
19 21 96523
31 28 167764
24 7 189001
17 14 120256
18 35 190154
21 23 142410
20 22 181983
25 24 61828
26 30 93710
8 29 4070
2 14 238439
2 31 278408
23 14 36172
28 26 190265
30 10 166161
18 30 170058
27 35 251660
33 29 139038
31 30 199908
20 28 238851
8 16 13752
16 15 141477
36 1 109197
5 33 159584
10 31 176503
26 21 101299
19 11 156266
30 13 134581
27 13 316773
28 10 100477
24 33 209861
9 26 120936
15 27 151732
9 21 179476
25 18 53582
7 5 67083
2 25 239795
31 26 140193
32 23 161355
3 5 158134
31 6 254756
5 17 102989
36 24 102086
23 1 149034
5 30 204172
21 29 177000
14 21 162299
22 4 147531
11 17 129733
36 21 164323
24 30 54648
12 11 171862
36 10 151933
27 14 326834
9 1 50719
28 13 149394
2 13 202507
32 26 194136
27 21 177573
4 35 134085
32 16 97787
13 20 189636
35 16 165902
19 6 143782
25 20 249655
24 19 34286
10 4 57592
9 11 38018
16 21 167318
35 21 74087
32 35 183460
11 21 141458
36 9 58478
18 24 115410
32 17 18515
25 10 173341
21 12 112119
3 4 177489
35 12 109499
28 36 88893
16 10 118042
25 29 64467
27 2 302076
14 24 100062
10 24 111513
34 20 245695
32 9 73200
11 18 190336
16 23 175544
30 33 245125
6 7 151804
29 27 208782
10 22 205123
16 30 185500
29 26 155205
14 19 134348
28 19 196911
4 20 197372
21 30 116885
4 29 153747
19 30 88934
34 36 33287
12 3 66095
22 23 102702
24 5 158558
31 24 145260
24 2 200698
8 2 179398
1 14 173914
11 35 215545
24 12 49882
25 1 149455
24 23 80173
15 13 165041
24 16 135977
22 17 195804
31 35 53140
32 18 194454
10 5 109851
20 3 269625
33 22 277396
26 35 164264
29 14 166470
25 3 174102
3 26 120860
29 9 34269
5 22 181087
8 12 180247
11 16 62605
19 36 136372
19 5 192844
10 18 226923
20 18 303237
4 30 176883
3 13 79989
16 2 165646
21 15 25841
24 4 122235
19 13 114219
36 30 151609
30 8 179888
34 1 142484
19 8 164651
2 7 231650
17 25 135945
3 27 295064
31 17 174558
5 32 84474
4 36 177956
22 29 138358
13 29 184986
35 10 123363
26 20 148765
1 33 224026
34 31 112158
33 28 137148
13 10 188476
23 27 316533
8 31 107150
7 31 196876
16 25 74149
35 14 116530
15 10 23435
13 16 175304
19 3 146560
12 31 162639
25 11 136754
1 27 287772
26 11 82918
32 13 161115
2 28 225980
24 22 182875
36 15 175368
8 26 159275
5 8 121810
12 20 237709
17 6 187710
28 6 180916
15 6 104382
6 25 171324
16 22 128676
13 4 199198
6 11 151685
20 2 12871
9 2 141059
24 29 126295
6 12 159378
9 12 209880
8 18 122119
11 29 72287
33 7 166260
24 9 159998
20 11 115912
13 11 123789
5 34 151801
23 3 79749
10 2 242093
19 7 214439
33 17 143942
1 8 89058
36 14 142261
23 34 205240
35 1 163664
36 3 175415
24 34 135373
3 31 96544
11 36 96496
14 11 159721
35 23 123153
22 7 194680
28 14 113462
29 32 107469
10 21 49276
9 22 104089
13 21 142170
31 33 193700
31 20 288958
20 21 250064
5 11 121489
32 1 123919
2 15 218658
35 28 195181
13 14 35932
31 22 202264
12 18 165292
14 25 146822
11 28 122939
25 23 142001
17 23 156428
17 1 142434
3 17 236177
28 34 55606
1 7 141310
14 6 209558
1 20 204649
10 17 107271
29 15 151159
17 107
2 10 308605
7 2 90212
12 13 289079
5 2 255490
10 4 223617
14 12 262389
12 9 333766
11 7 430983
4 15 184134
6 3 253164
9 3 330802
16 3 424625
3 5 402803
4 16 288500
1 16 64599
6 5 149639
11 9 290609
17 2 299689
6 17 174662
4 17 284668
7 9 140374
12 17 183390
5 14 326312
5 4 141755
9 13 355619
3 14 248826
8 9 132942
2 1 266274
4 1 318083
8 11 386165
14 17 411801
13 6 280351
16 15 351518
7 14 161034
13 1 139104
12 11 479995
14 4 275601
8 14 372599
1 7 356486
8 3 197860
10 15 287960
6 9 77638
17 5 177929
2 16 330873
5 16 146745
13 11 402294
2 11 425634
5 11 362610
17 1 33415
14 2 112112
10 13 372599
16 10 298094
10 5 172420
10 8 168915
15 13 345899
8 4 165310
12 16 214574
8 6 55304
11 14 496456
9 2 183489
4 2 204779
13 2 366544
12 6 358052
1 14 378386
4 3 363170
6 14 331949
11 6 330861
6 15 240482
4 9 69754
5 1 211344
2 8 301777
7 17 382021
16 17 31184
4 6 110006
12 4 355056
9 14 254311
16 14 442985
5 8 204943
12 15 170922
11 17 296605
16 13 136873
11 15 404989
3 10 249814
6 7 218012
17 10 266910
7 12 240489
3 12 511215
5 9 72001
1 15 286919
3 17 427826
1 11 330020
15 3 340293
14 13 437366
9 10 191249
6 1 208077
7 13 276332
1 12 149975
4 7 210128
7 8 273316
2 3 360938
3 13 533515
15 2 20645
10 7 331623
7 3 409860
7 5 212375
13 17 105689
6 2 261127
50 50
5 36 674757
19 20 906648
3 26 964754
38 8 936996
27 23 609756
10 45 856700
12 35 551402
44 6 674811
48 8 763747
23 49 698707
11 13 689336
2 26 615291
16 21 435498
21 46 529838
10 1 676915
10 4 847652
1 3 890596
16 29 950065
46 7 637295
18 34 459547
10 17 368531
30 11 560623
44 48 659856
11 47 730672
4 45 684947
19 21 381819
13 43 881579
21 22 732286
36 42 842281
27 19 863133
42 12 327850
39 19 335958
21 2 368163
50 22 591809
13 1 414061
19 28 561606
48 39 678286
48 6 940635
33 26 919977
17 20 874054
38 1 704041
30 12 267618
33 13 621661
16 12 321239
1 2 655399
44 35 197016
41 33 638285
28 21 870740
13 22 566483
34 49 395204
6 7
4 6 588549
3 6 660400
6 1 337297
1 4 555453
5 1 581158
3 2 492811
6 5 243861
24 75
1 18 228972
6 14 151199
15 11 124754
6 11 96828
20 14 168920
17 13 518235
4 5 146195
15 5 5197
19 18 133604
7 12 312092
22 10 247236
3 10 275124
2 6 36728
16 10 272544
11 21 190013
19 10 135568
18 9 356283
7 11 137030
15 2 91444
17 14 153369
13 8 502654
20 7 314586
18 22 245289
5 7 256587
1 7 279381
18 2 155114
17 7 238648
5 16 72256
23 22 204716
2 21 96520
24 3 382138
8 21 55541
17 21 171320
1 3 214524
15 7 261784
22 17 55971
10 5 210682
5 22 106497
4 18 315308
4 13 443257
13 2 543653
23 17 148745
20 18 309754
5 13 446992
10 13 657674
4 20 204194
19 21 118030
24 23 82656
9 1 273938
1 5 22783
12 19 63016
8 16 117524
3 4 307734
20 23 224683
1 6 110586
20 6 191368
10 4 274235
4 8 201173
9 14 280139
4 7 110392
20 8 113661
13 15 452189
18 21 251634
23 13 463744
21 7 273767
12 6 78234
20 15 63196
1 14 88116
21 22 153879
14 19 135981
16 17 224330
11 17 101618
14 12 155977
22 3 298238
19 17 55714
50 693
42 41 81425
18 15 40508
37 10 126446
40 30 130963
38 50 95062
45 14 44220
19 10 54643
18 9 186330
26 36 164945
25 42 97576
21 32 111477
10 7 169753
50 21 80986
23 28 85870
15 42 105068
6 35 89951
32 13 117548
40 46 72034
41 3 123194
48 41 65334
19 33 65020
48 36 158912
40 49 30040
29 19 77658
14 50 46348
17 50 109550
11 35 102293
20 35 184321
4 43 66320
35 9 119201
7 5 130504
9 19 106023
26 13 150027
39 6 88403
24 20 218600
10 44 137116
21 39 113139
38 5 101837
36 43 160074
1 29 115191
22 21 94668
8 45 70188
27 9 180530
35 2 119201
33 43 47252
11 20 154508
8 16 36740
23 5 68616
37 9 177826
44 18 34061
48 7 84846
12 22 81229
4 31 136836
35 43 113549
1 17 73970
29 42 97528
39 42 35965
1 22 144077
47 37 125519
44 9 165404
41 25 114895
5 28 95195
2 15 132652
49 14 28971
36 49 136513
19 26 57397
34 22 61715
49 9 175769
44 8 64548
7 37 203996
46 41 100194
45 40 73882
33 11 46367
45 23 28727
42 35 135703
22 11 134032
26 5 119654
10 23 140699
18 40 51374
16 49 88561
27 12 70161
8 35 122210
14 46 69807
6 14 38447
42 4 93714
30 43 143449
45 46 114027
39 48 91874
16 50 132462
23 34 100724
4 46 125868
49 33 4726
50 12 118160
49 19 69746
38 1 127486
16 3 36646
3 24 158634
25 28 113827
5 44 96608
22 19 162568
44 46 111505
38 46 118521
6 47 86415
4 17 116013
10 38 144132
23 33 69526
44 25 71689
14 22 121793
50 32 30491
36 7 159991
31 18 109070
38 43 90862
2 8 113361
13 46 110516
18 21 71806
41 15 67729
45 32 121059
49 22 92822
28 27 40610
2 21 69174
16 7 144372
25 46 145933
44 7 75174
17 26 102440
36 20 109140
31 32 54054
17 8 119527
27 10 183952
4 1 129950
49 34 31107
28 45 73232
38 22 108744
11 15 91531
36 27 138912
11 47 104568
40 20 143338
47 42 32053
8 21 72183
16 9 187444
50 49 75319
16 5 128891
33 3 97911
47 40 109390
17 22 73645
12 42 111273
25 7 105585
6 31 97212
41 17 119159
36 17 178797
24 17 126609
22 23 113813
42 16 76337
32 22 140682
33 13 122650
42 7 68035
14 27 114994
47 23 64266
29 35 78935
2 20 237579
40 42 119279
16 30 174613
45 49 73191
9 2 206449
36 1 148764
28 2 110317
40 41 60049
33 38 72959
41 16 103699
40 34 61147
49 37 141549
26 2 142329
36 18 151971
29 16 96473
34 39 38368
16 24 121988
4 33 87128
42 11 118141
10 26 112040
11 18 62544
39 27 107319
39 41 117390
6 41 68834
25 5 127019
2 3 180659
17 37 175780
31 26 75387
43 13 145156
21 31 93403
11 4 78094
29 23 82164
24 28 105354
32 43 88590
29 26 55309
1 11 145281
15 25 104980
29 20 105386
20 30 229446
45 26 91239
40 48 43502
28 6 64341
24 46 146149
10 5 116900
32 17 115566
8 11 49397
36 39 180566
11 46 69784
32 9 142087
32 2 169846
19 36 107548
39 19 113354
28 33 50139
15 24 113684
16 12 63247
29 3 101097
14 12 71812
40 6 48968
2 36 196784
6 36 155441
23 13 108339
14 30 101301
28 43 40667
12 47 79220
5 50 56684
12 6 87804
31 36 125538
27 4 10463
27 21 106362
41 33 54632
3 15 150757
14 21 34638
41 31 89152
44 33 17453
21 47 45121
47 24 67661
26 21 81657
35 1 138973
30 19 102723
38 13 75118
20 43 155824
1 34 110569
37 45 89980
25 6 77890
16 35 157977
39 22 71876
16 1 112573
24 2 110878
25 21 110644
2 44 112460
48 3 78468
38 49 77685
47 14 50379
18 1 101769
29 24 113225
29 38 85597
20 1 155122
43 31 70516
40 5 113921
42 2 146348
46 10 62071
33 20 118024
39 23 111632
5 21 87761
10 12 167230
17 48 90105
42 30 152339
22 8 107736
30 45 84747
44 38 90412
50 41 76735
30 41 70914
33 36 141239
5 31 80247
23 44 86979
22 16 79940
49 25 58962
21 30 75165
35 48 83051
17 7 71685
50 26 62970
34 21 81579
11 36 148300
19 14 40775
13 18 148710
20 21 176907
16 11 86137
45 13 83565
43 49 42526
3 6 112113
43 27 76783
20 15 159316
44 14 41698
39 29 61563
17 27 105550
43 18 63860
6 13 134441
8 32 72046
12 3 99893
27 46 131608
15 16 145422
9 17 190058
41 11 84309
50 25 134281
19 31 17990
10 47 142481
35 19 106572
22 24 52964
22 2 163842
42 45 67592
12 13 127246
1 13 116315
42 20 118886
46 31 47022
42 26 112776
48 12 95146
33 21 58883
31 29 95648
39 17 1769
13 37 153287
40 35 101063
26 7 109844
41 10 125805
43 17 97569
47 13 48026
12 24 75803
2 45 78756
20 44 126025
40 33 34766
50 43 58099
37 43 124329
17 49 67706
43 40 12486
7 18 67957
31 1 122519
41 24 45955
10 35 161215
23 30 76726
10 36 92998
37 14 112578
26 15 108176
3 46 95582
26 38 95733
11 6 60569
49 6 18928
12 46 123678
4 19 118846
19 37 71803
17 6 86634
9 22 212779
5 30 145342
24 25 117347
10 4 173489
14 48 34947
26 16 69492
39 30 185623
12 40 51870
34 37 172656
19 6 79222
16 36 145826
6 15 75789
47 39 68018
10 2 188425
45 25 101062
4 8 40033
39 35 140498
20 41 172656
49 29 7912
49 1 123103
27 44 108202
8 43 37623
15 36 172933
50 33 70593
45 31 102985
46 37 89689
17 5 89373
18 50 96653
29 18 13422
31 35 124562
7 1 104271
44 39 82202
24 48 111289
23 46 115088
9 36 41618
19 16 126889
35 22 153197
22 46 156198
29 28 62777
38 18 85882
12 32 98553
48 31 77984
4 37 167026
20 14 142269
14 8 71340
47 9 121009
25 4 150816
30 6 139748
27 47 115304
16 39 100405
34 15 30735
25 14 87933
15 27 152336
20 31 191535
34 41 85830
10 3 157653
34 13 154412
5 27 135805
42 28 110033
20 45 186478
2 17 184082
30 11 143475
34 9 183816
7 3 155632
10 11 95395
33 30 125546
12 29 86240
50 3 108758
8 34 82928
20 16 195223
36 21 136112
19 11 40752
3 44 105912
28 12 29551
11 3 62433
49 42 105440
15 43 103305
34 10 155496
10 24 171760
10 43 107169
20 6 132226
35 23 39384
48 16 105379
26 18 68731
11 25 100172
19 45 84995
22 26 140219
4 38 126292
41 23 14894
7 50 137766
17 33 72432
44 37 154276
16 46 124694
28 17 122571
28 26 35796
42 3 112983
41 29 67270
30 48 136248
11 26 16645
50 48 65567
48 34 53506
8 37 126993
40 50 70585
37 16 163733
23 31 104046
31 25 146698
27 40 89269
22 45 85086
32 29 102162
36 41 131861
3 32 139249
19 27 129309
41 7 121805
40 14 59011
20 49 113298
41 22 98919
19 44 82473
28 39 124340
42 6 118468
49 3 93185
5 35 96701
33 2 119555
9 40 171035
33 35 75749
13 30 164359
3 43 50659
19 47 91154
22 29 84910
28 34 85972
21 35 58529
48 20 135697
33 34 35833
16 4 17377
23 19 86056
20 3 206483
29 47 87262
9 15 184140
33 15 61587
26 34 78504
27 3 43560
2 49 124281
1 19 104529
33 10 119663
8 20 165119
37 20 245348
32 49 105810
22 37 175066
3 28 70342
8 41 67932
1 26 149012
32 19 36064
29 9 172908
29 7 54535
29 21 71521
39 38 127215
49 35 71023
1 12 147509
1 46 84593
34 29 23195
38 3 130148
50 31 23563
31 3 121175
44 35 58296
36 8 182566
18 8 73155
48 21 69585
32 35 70508
14 36 148323
31 2 115792
3 30 194108
12 25 137290
13 22 168651
20 13 198965
26 4 61449
12 21 45676
42 14 82432
25 37 191042
31 28 111183
6 10 112229
3 22 116586
23 3 138088
47 31 109144
13 31 110620
32 47 120669
1 15 141304
34 30 147255
48 29 30311
47 4 125767
32 11 76816
18 20 118808
40 19 65012
3 14 113415
47 49 79350
33 14 24245
45 10 139638
8 39 121296
19 2 133782
36 12 173286
23 14 45281
46 26 64419
44 21 76336
25 23 129789
40 24 106004
34 27 126582
27 20 202137
18 24 113510
46 32 53950
41 19 71162
43 29 50438
10 31 72633
22 10 217211
18 16 109895
39 43 95800
36 23 116967
46 17 86091
32 36 143612
31 27 137725
31 11 58742
6 22 111750
4 44 104581
29 8 59733
8 1 140511
21 15 71980
21 49 63609
2 1 182584
29 37 149461
37 3 174988
15 12 109154
38 32 125553
30 26 148320
18 12 99662
9 20 67522
16 14 108080
30 50 108296
40 44 42767
50 1 98956
25 19 128708
24 26 123361
49 5 83881
10 29 132301
8 10 144792
27 18 116809
22 27 86854
37 30 174526
18 41 76057
23 2 79817
23 32 94809
40 36 166553
37 15 149920
3 35 161519
14 35 84665
9 12 171374
16 32 102698
43 42 107905
13 25 113549
48 43 31016
24 37 122102
42 37 138046
18 39 48141
35 25 129985
18 14 50305
46 15 107149
7 40 92487
47 15 87721
45 34 91161
24 11 130264
26 44 60124
38 15 86056
5 45 97343
27 35 161134
16 33 83835
46 33 94052
21 10 130056
38 14 48714
14 29 36883
39 15 69103
37 35 158091
36 34 142198
2 14 95310
2 46 162814
15 28 111726
14 1 118668
25 20 156436
39 5 91142
12 45 43681
44 16 101288
40 21 64300
18 35 92357
3 21 127445
19 42 77389
49 46 98778
22 28 110780
32 41 107226
18 45 81388
42 44 118167
21 9 137275
30 49 130272
13 19 92630
3 19 103185
32 40 101076
10 48 114637
17 11 108916
46 28 100215
31 34 118843
2 13 158368
13 41 93445
38 9 151351
32 34 78967
14 28 74384
13 36 166846
21 19 75413
11 13 133382
2 16 144013
8 9 187370
31 9 124013
42 13 80079
44 12 91055
7 21 126056
46 30 131755
41 5 83510
14 5 103032
4 23 122859
35 17 138729
6 50 84795
20 34 128581
1 40 153143
28 19 93193
2 50 139355
50 39 107781
13 27 163330
34 25 74245
43 7 104973
9 1 189298
16 6 98037
10 32 90707
26 40 17357
24 14 76342
19 18 91080
29 50 83231
17 29 59794
12 30 112339
6 23 83728
23 37 118707
6 8 61297
12 8 26507
25 43 101488
16 7
13 1 933630
3 14 13950
1 2 797240
4 16 991247
7 8 587043
13 8 449473
3 4 677921
23 117
11 7 283215
15 17 189808
14 5 263810
10 19 116793
11 8 240732
13 23 326651
8 1 109097
7 23 167779
9 6 60314
9 17 300029
23 12 159691
7 4 344130
15 1 205048
6 5 237483
18 3 467864
11 2 316214
18 11 214609
22 15 259996
12 15 348540
17 20 239598
19 18 146049
20 5 267970
2 16 81280
8 15 95951
7 3 459907
3 13 523392
19 11 198318
3 19 426835
21 17 260595
17 1 202954
13 15 421432
10 3 323048
10 20 235697
5 8 122229
21 10 373619
5 4 292742
19 15 324875
22 12 224227
1 12 143492
17 19 290346
7 14 261669
9 15 334558
11 12 275127
5 16 179871
3 12 365603
3 17 323567
12 10 55561
16 6 106613
18 22 81170
10 15 404101
11 21 363764
18 2 221797
8 4 301647
13 12 193519
4 10 6503
8 12 252589
13 2 214453
17 5 104943
17 11 299789
19 12 159348
12 5 341800
16 15 319343
4 19 110290
21 16 289672
7 8 42483
14 15 315137
23 11 147834
12 9 169031
15 4 397598
16 20 172904
13 16 133173
21 14 389131
2 10 214141
17 13 386903
3 14 390318
21 12 318058
20 14 73445
6 1 256816
13 4 206847
15 21 327981
12 6 113324
20 6 266069
4 6 162382
19 7 271407
5 1 231326
22 8 164045
5 18 39354
4 20 229194
14 11 168436
19 1 246164
21 9 265048
7 6 341404
14 18 239976
9 2 127579
4 22 175169
19 9 9683
2 19 117896
7 21 274513
6 2 187893
12 2 158580
22 23 281273
10 7 350633
23 19 262363
9 22 74562
4 14 246365
23 2 307027
